Time [Hr:Min:Sec],Neph [ug/cm^3]
15:39:00,20.182
15:39:10,20.185
15:39:20,25.989
15:39:30,23.063
15:39:40,25.986
15:39:50,25.952
15:40:00,34.645
15:40:10,28.854
15:40:20,34.598
15:40:30,34.598
15:40:40,34.629
15:40:50,23.06
15:41:00,23.096
15:41:10,25.978
15:41:20,17.309
15:41:30,17.32
15:41:40,14.411
15:41:50,20.203
15:42:00,20.189
15:42:10,28.864
15:42:20,31.754
15:42:30,20.205
15:42:40,17.299
15:42:50,31.758
15:43:00,31.747
15:43:10,34.648
15:43:20,34.614
15:43:30,37.523
15:43:40,23.05
15:43:50,34.641
15:44:00,28.867
15:44:10,43.198
15:44:20,23.071
15:44:30,20.18
15:44:40,23.068
15:44:50,25.952
15:45:00,25.983
15:45:10,23.071
15:45:20,20.212
15:45:30,25.963
15:45:40,25.983
15:45:50,31.715
15:46:00,20.209
15:46:10,25.952
15:46:20,17.295
15:46:30,11.535
15:46:40,23.068
15:46:50,23.055
15:47:00,23.058
15:47:10,23.071
15:47:20,28.877
15:47:30,20.187
15:47:40,20.214
15:47:50,17.324
15:48:00,20.18
15:48:10,14.419
15:48:20,20.205
15:48:30,31.729
15:48:40,31.751
15:48:50,25.989
15:49:00,23.071
15:49:10,23.101
15:49:20,23.073
15:49:30,31.729
15:49:40,28.87
15:49:50,25.946
15:50:00,20.214
15:50:10,28.832
15:50:20,20.173
15:50:30,20.189
15:50:40,23.076
15:50:50,23.073
15:51:00,23.068
15:51:10,20.216
15:51:20,20.205
15:51:30,11.53
15:51:40,14.418
15:51:50,17.328
15:52:00,23.058
15:52:10,25.934
15:52:20,14.421
15:52:30,20.189
15:52:40,23.076
15:52:50,40.378
15:53:00,28.864
15:53:10,34.614
15:53:20,25.952
15:53:30,25.983
15:53:40,31.761
15:53:50,34.59
15:54:00,23.094
15:54:10,17.32
15:54:20,17.303
15:54:30,20.214
15:54:40,20.185
15:54:50,23.076
15:55:00,25.949
15:55:10,31.751
15:55:20,37.447
15:55:30,25.96
15:55:40,25.986
15:55:50,43.311
15:56:00,20.178
15:56:10,20.203
15:56:20,23.094
15:56:30,31.722
15:56:40,28.832
15:56:50,28.848
15:57:00,40.039
15:57:10,34.641
15:57:20,20.212
15:57:30,23.071
15:57:40,17.305
15:57:50,11.549
15:58:00,28.825
15:58:10,23.096
15:58:20,28.88
15:58:30,20.212
15:58:40,23.078
15:58:50,14.419
15:59:00,17.324
15:59:10,23.081
15:59:20,20.182
15:59:30,25.954
15:59:40,28.845
15:59:50,17.305
